miRNA Name	Gene Symbol
hsa-miR-940	PLEKHH1
hsa-miR-940	ISLR2
hsa-miR-940	SEL1L
hsa-miR-940	RHOU
hsa-miR-940	TAF1
hsa-miR-940	SCN3B
hsa-miR-940	LOC100507656
hsa-miR-940	ARL8B
hsa-miR-940	RBL1
hsa-miR-940	NLRP9
hsa-miR-940	CAPN1
hsa-miR-940	WNT1
hsa-miR-940	APC2
hsa-miR-940	CHST2
hsa-miR-940	IFFO2
hsa-miR-940	ZNF710
hsa-miR-940	POLDIP3
hsa-miR-940	PAK6
hsa-miR-940	SPATA18
hsa-miR-940	ZDHHC3
hsa-miR-940	GPR56
hsa-miR-940	RBM4B
hsa-miR-940	CYP2B6
hsa-miR-940	AFMID
hsa-miR-940	GCHFR
hsa-miR-940	ZDHHC9
hsa-miR-940	LANCL1
hsa-miR-940	MINOS1-NBL1
hsa-miR-940	PNKD
hsa-miR-940	MYOZ3
hsa-miR-940	CNTNAP1
hsa-miR-940	AFAP1L1
hsa-miR-940	SEC22C
hsa-miR-940	RAPSN
hsa-miR-940	TSR3
hsa-miR-940	ALDH6A1
hsa-miR-940	GRPEL2
hsa-miR-940	APLN
hsa-miR-940	HTR5A
hsa-miR-940	CD82
hsa-miR-940	VPS37A
hsa-miR-940	PHC1
hsa-miR-940	EDIL3
hsa-miR-940	GOSR1
hsa-miR-940	SUPT3H
hsa-miR-940	TJP2
hsa-miR-940	GTF2A1
hsa-miR-940	HHLA3
hsa-miR-940	LENG8
hsa-miR-940	SLC7A1
hsa-miR-940	NOD2
hsa-miR-940	MAMSTR
hsa-miR-940	SLC35C1
hsa-miR-940	KIF18B
hsa-miR-940	HMG20A
hsa-miR-940	BICD2
hsa-miR-940	AGPAT1
hsa-miR-940	SPECC1
hsa-miR-940	WDR76
hsa-miR-940	IL34
hsa-miR-940	PGAM4
hsa-miR-940	LZTS1
hsa-miR-940	SYNPO
hsa-miR-940	NOTCH2
hsa-miR-940	FAM162B
hsa-miR-940	HLA-DRB4
hsa-miR-940	C6orf25
hsa-miR-940	LYST
hsa-miR-940	WNT3A
hsa-miR-940	ANKFY1
hsa-miR-940	RPUSD1
hsa-miR-940	MLXIP
hsa-miR-940	CCDC117
hsa-miR-940	ERMP1
hsa-miR-940	ST8SIA2
hsa-miR-940	LOC100996273
hsa-miR-940	CDKN2A
hsa-miR-940	FAF2
hsa-miR-940	ERI1
hsa-miR-940	FAM131B
hsa-miR-940	HMGN3
hsa-miR-940	RBPJ
hsa-miR-940	WBSCR27
hsa-miR-940	ZNF850
hsa-miR-940	DYNC1LI2
hsa-miR-940	WISP2
hsa-miR-940	VASP
hsa-miR-940	TRAPPC9
hsa-miR-940	RBFOX2
hsa-miR-940	TFE3
hsa-miR-940	SIRPB2
hsa-miR-940	NDUFA10
hsa-miR-940	UBE3C
hsa-miR-940	CLIC5
hsa-miR-940	POU4F1
hsa-miR-940	CYP4A11
hsa-miR-940	SPOP
hsa-miR-940	AKAP11
hsa-miR-940	TRIM33
hsa-miR-940	ST8SIA3
hsa-miR-940	ZADH2
hsa-miR-940	THEM6
hsa-miR-940	LTBP3
hsa-miR-940	PKNOX2
hsa-miR-940	EMP2
hsa-miR-940	IL10RA
hsa-miR-940	EGLN2
hsa-miR-940	SH3TC1
hsa-miR-940	ELL
hsa-miR-940	GTF2H3
hsa-miR-940	ZNF169
hsa-miR-940	CDIPT
hsa-miR-940	PPIL2
hsa-miR-940	COQ10A
hsa-miR-940	GM2A
hsa-miR-940	CHRDL1
hsa-miR-940	PCYT2
hsa-miR-940	SPR
hsa-miR-940	ARSB
hsa-miR-940	FXYD2
hsa-miR-940	KMT2D
hsa-miR-940	UNC5A
hsa-miR-940	ZNF691
hsa-miR-940	ZMAT3
hsa-miR-940	WWP2
hsa-miR-940	CHP1
hsa-miR-940	FXYD6-FXYD2
hsa-miR-940	ICAM1
hsa-miR-940	GPR37L1
hsa-miR-940	CKMT2
hsa-miR-940	PIP4K2C
hsa-miR-940	BAK1
hsa-miR-940	MRO
hsa-miR-940	GNAI1
hsa-miR-940	ARID3B
hsa-miR-940	SYN3
hsa-miR-940	ACO2
hsa-miR-940	GPATCH8
hsa-miR-940	CERS3
hsa-miR-940	PRSS45
hsa-miR-940	SYS1
hsa-miR-940	CACNA1B
hsa-miR-940	XAF1
hsa-miR-940	ABHD4
hsa-miR-940	RAB27A
hsa-miR-940	11-Sep
hsa-miR-940	LOC102725527
hsa-miR-940	ZNF490
hsa-miR-940	PRR3
hsa-miR-940	CD3EAP
hsa-miR-940	ATP8B4
hsa-miR-940	PVRL1
hsa-miR-940	KLF3
hsa-miR-940	TMEM194A
hsa-miR-940	NMNAT3
hsa-miR-940	CCND3
hsa-miR-940	MEFV
hsa-miR-940	ARSA
hsa-miR-940	USP13
hsa-miR-940	NHSL1
hsa-miR-940	LENEP
hsa-miR-940	KIN
hsa-miR-940	C19orf54
hsa-miR-940	GLP1R
hsa-miR-940	KLHL18
hsa-miR-940	ZBTB44
hsa-miR-940	SIX4
hsa-miR-940	KCNMA1
hsa-miR-940	PCNT
hsa-miR-940	SEMA4B
hsa-miR-940	JPH4
hsa-miR-940	PHF8
hsa-miR-940	CPNE8
hsa-miR-940	SLC35A4
hsa-miR-940	CPNE5
hsa-miR-940	CDX1
hsa-miR-940	COX16
hsa-miR-940	TAL1
