V1,V2
ADARB2,RBAK
ADARB2,RSBN1
ADARB2,ZNF317
ADARB2,ZNF362
ADARB2,ZNF592
ADARB2,ZSCAN12
ADARB2,ENSG00000206407
ADARB2,RREB1
ADARB2,BEND3
ADARB2,DHX30
ADARB2,SUMO1
ADARB2,PPP1R10
ADARB2,ENSG00000206489
ADARB2,CENPV
ADARB2,BCKDK
ADARB2,ZNF174
ADARB2,ZNF462
ADARB2,ZNF768
ADARB2,ZNF687
ALPP,ARID5B
ALPP,OGT
ALPP,PARP12
ALPP,STOM
ALPP,ZMYND11
ALPP,ZNF106
ALPP,RBAK
ALPP,RSBN1
ALPP,ZNF317
ALPP,ZNF362
ALPP,ZNF592
ALPP,ZSCAN12
ALPP,ENSG00000206407
ALPP,RREB1
ALPP,SUMO3
ALPP,NCOR2
ALPP,MEIS1
ALPP,LRPAP1
ALPP,ARID1B
ALPP,PBXIP1
ALPP,MCAT
ALPP,FAM98A
ALPP,ASCC3
ALPP,BEND3
ALPP,RBM33
ALPP,DDB2
ALPP,NUFIP2
ALPP,CLK3
ALPP,DHX30
ALPP,HELZ
ALPP,SUMO1
ALPP,PPP1R10
ALPP,ENSG00000206489
ALPP,CENPV
ALPP,BCKDK
ALPP,ZNF174
ALPP,ZNF462
ALPP,ZNF768
ALPP,ZNF687
ALPP,SUMO4
ARID5B,OGT
ARID5B,PARP12
ARID5B,STOM
ARID5B,ZMYND11
ARID5B,ZNF106
ARID5B,RBAK
ARID5B,RSBN1
ARID5B,ZNF317
ARID5B,ZNF362
ARID5B,ZNF592
ARID5B,ZSCAN12
ARID5B,ENSG00000206407
ARID5B,RREB1
ARID5B,BEND3
ARID5B,DHX30
ARID5B,SUMO1
ARID5B,PPP1R10
ARID5B,ENSG00000206489
ARID5B,CENPV
ARID5B,BCKDK
ARID5B,ZNF174
ARID5B,ZNF462
ARID5B,ZNF768
ARID5B,ZNF687
MCRS1,KANSL1
MCRS1,KAT8
MCRS1,ASH2L
MCRS1,PELP1
MCRS1,PNISR
MCRS1,ITSN2
MCRS1,PHRF1
MCRS1,KANSL2
MCRS1,MSS51
MCRS1,KMT2A
MCRS1,RNASEK-C17orf49
MCRS1,RNF2
MCRS1,SENP3
MCRS1,CCDC53
MCRS1,LMX1B
MCRS1,PHC2
MCRS1,NDUFB9
MCRS1,ENSG00000206279
MCRS1,DAXX
MCRS1,PMS2CL
MCRS1,CCDC12
MCRS1,SNAI2
MCRS1,DAB2IP
MCRS1,PBX2
MCRS1,PMS2
MCRS1,MORN3
MCRS1,ENSG00000206206
MCRS1,ENSG00000206315
MCRS1,DVL2
MCRS1,ERP44
MCRS1,SIX1
MCRS1,TMEM55B
MCRS1,FKBP15
MCRS1,DHX35
MCRS1,ENSG00000206247
NEDD4,UBE2E3
NEDD4,UBE2D2
NEDD4,UBE2D3
NEDD4,UBE2E1
NEDD4,UBE2E2
NEDD4,NFE2
NEDD4,SMAD5
NEDD4,N4BP2
NEDD4,NDFIP1
NEDD4,UBE2D1
NEDD4,DHX30
NEDD4,PMEPA1
NEDD4,UBE2L3
NEDD4,RNF11
NEDD4,SCNN1A
NEDD4,TP73
OGT,PARP12
OGT,STOM
OGT,ZMYND11
OGT,ZNF106
OGT,RBAK
OGT,RSBN1
OGT,ZNF317
OGT,ZNF362
OGT,ZNF592
OGT,ZSCAN12
OGT,ENSG00000206407
OGT,ASH2L
OGT,STAM
OGT,SRF
OGT,MBNL1
OGT,RREB1
OGT,ARIH2
OGT,PAX6
OGT,SP1
OGT,BRMS1
OGT,CDK4
OGT,CDKN2A
OGT,GTF2B
OGT,IFIT1
OGT,LPCAT1
OGT,LRCH4
OGT,PML
OGT,SAP25
OGT,TTLL12
OGT,ZC3HAV1
OGT,CIR1
OGT,COPS4
OGT,CACNG5
OGT,CACNG7
OGT,BEND3
OGT,SIN3B
OGT,DHX30
OGT,SUDS3
OGT,TRAK2
