PIM3 	hsa-miR-181c-5p
SON 	hsa-miR-340-5p
SON 	hsa-miR-423-3p
LMTK2 	hsa-miR-20a-5p
IRS4 	hsa-miR-96-5p
IRS4 	hsa-miR-15b-5p
STAU1 	hsa-miR-27b-3p
C17orf49 	hsa-miR-96-5p
C17orf49 	hsa-miR-615-3p
MGMT 	hsa-miR-423-3p
CSNK1A1 	hsa-miR-20a-5p
PAG1 	hsa-miR-20a-5p
PAG1 	hsa-miR-15b-5p
NKD1 	hsa-miR-769-5p
DNAJB9 	hsa-miR-20a-5p
SARM1 	hsa-miR-15b-5p
FAM114A2 	hsa-miR-20a-5p
ZNF277 	hsa-miR-15b-5p
SMARCA5 	hsa-miR-15b-5p
E2F3 	hsa-miR-769-5p
GATC 	hsa-miR-15b-5p
LRIG3 	hsa-miR-20a-5p
SLC4A7 	hsa-miR-20a-5p
ESD 	hsa-miR-340-5p
NUFIP2 	hsa-miR-769-5p
NUFIP2 	hsa-miR-20a-5p
NUFIP2 	hsa-miR-15b-5p
NPEPPS 	hsa-miR-340-5p
CDV3 	hsa-miR-15b-5p
ARL6IP1 	hsa-miR-181c-5p
ARL6IP1 	hsa-miR-15b-5p
ARL6IP1 	hsa-miR-27b-3p
CTTNBP2 	hsa-miR-15b-5p
QARS 	hsa-miR-96-5p
FASTK 	hsa-miR-15b-5p
PLEKHB2 	hsa-miR-20a-5p
GFPT1 	hsa-miR-20a-5p
GFPT1 	hsa-miR-15b-5p
GFPT1 	hsa-miR-340-5p
MSH6 	hsa-miR-20a-5p
BRD3 	hsa-miR-141-3p
STK3 	hsa-miR-141-3p
RIN2 	hsa-miR-141-3p
HLA-G 	hsa-miR-152
PPARG 	hsa-miR-27b-3p
TGFB2 	hsa-miR-141-3p
EP300 	hsa-miR-200c-3p
SFPQ 	hsa-miR-141-3p
JAG1 	hsa-miR-200c-3p
CBY1 	hsa-miR-20a-5p
UBE2E1 	hsa-miR-20a-5p
YIPF5 	hsa-miR-15b-5p
PCNP 	hsa-miR-20a-5p
THUMPD1 	hsa-miR-181c-5p
ZNF780A 	hsa-miR-181c-5p
PUM2 	hsa-miR-15b-5p
NCAPH 	hsa-miR-20a-5p
CKB 	hsa-miR-15b-5p
AHSA2 	hsa-miR-27b-3p
MIDN 	hsa-miR-20a-5p
EP300 	hsa-miR-181c-5p
NR2C1 	hsa-miR-20a-5p
MTRR 	hsa-miR-181c-5p
TLK1 	hsa-miR-15b-5p
LAMP2 	hsa-miR-15b-5p
NFE2L1 	hsa-miR-20a-5p
NDUFA8 	hsa-miR-423-3p
PTGDR 	hsa-miR-15b-5p
PTPLAD1 	hsa-miR-340-5p
SPRY1 	hsa-miR-15b-5p
MRPL24 	hsa-miR-20a-5p
MRPL24 	hsa-miR-96-5p
PROSC 	hsa-miR-15b-5p
BTF3L4 	hsa-miR-769-5p
MFSD5 	hsa-miR-15b-5p
RBPJ 	hsa-miR-20a-5p
INCENP 	hsa-miR-96-5p
ARID5B 	hsa-miR-15b-5p
USPL1 	hsa-miR-20a-5p
SP1 	hsa-miR-15b-5p
SP1 	hsa-miR-27b-3p
YY1 	hsa-miR-181c-5p
ZNF700 	hsa-miR-181c-5p
HSPA8 	hsa-miR-15b-5p
ADNP 	hsa-miR-615-3p
DHX15 	hsa-miR-15b-5p
ELAVL1 	hsa-miR-181c-5p
P2RY1 	hsa-miR-20a-5p
TSC22D2 	hsa-miR-20a-5p
TSC22D2 	hsa-miR-27b-3p
RPL19 	hsa-miR-27b-3p
YRDC 	hsa-miR-15b-5p
NARF 	hsa-miR-15b-5p
SESN2 	hsa-miR-615-3p
BCORL1 	hsa-miR-96-5p
LHX4 	hsa-miR-20a-5p
WDSUB1 	hsa-miR-15b-5p
MAPRE1 	hsa-miR-769-5p
LARP4 	hsa-miR-15b-5p
KLHL15 	hsa-miR-20a-5p
KLHL15 	hsa-miR-181c-5p
KLHL15 	hsa-miR-27b-3p
KLHL15 	hsa-miR-340-5p
SRRM2 	hsa-miR-15b-5p
TMPO 	hsa-miR-96-5p
TMPO 	hsa-miR-181c-5p
RAP2C 	hsa-miR-423-3p
SLC25A36 	hsa-miR-615-3p
GPX4 	hsa-miR-423-3p
HSP90B1 	hsa-miR-181c-5p
TNIP2 	hsa-miR-20a-5p
TNIP2 	hsa-miR-340-5p
SKI 	hsa-miR-340-5p
RB1 	hsa-miR-20a-5p
ACSL3 	hsa-miR-15b-5p
KLHDC3 	hsa-miR-20a-5p
TXN 	hsa-miR-20a-5p
MRPL17 	hsa-miR-20a-5p
SLC39A9 	hsa-miR-181c-5p
TGOLN2 	hsa-miR-96-5p
NCAPG 	hsa-miR-181c-5p
CYP1B1 	hsa-miR-27b-3p
NFIA 	hsa-miR-223-3p
RIN2 	hsa-miR-200c-3p
CDKN1A 	hsa-miR-20a-5p
CCNE1 	hsa-miR-15b-5p
MEF2C 	hsa-miR-223-3p
STMN1 	hsa-miR-223-3p
FOXO3 	hsa-miR-96-5p
SOD2 	hsa-miR-377-3p
FN1 	hsa-miR-200c-3p
PRMT5 	hsa-miR-96-5p
CDKN1A 	hsa-miR-654-3p
CDKN1A 	hsa-miR-299-5p
CDKN1A 	hsa-miR-96-5p
CDKN1A 	hsa-miR-423-3p
RAB8B 	hsa-miR-181c-5p
KIF1C 	hsa-miR-15b-5p
PAFAH1B2 	hsa-miR-15b-5p
OLA1 	hsa-miR-769-5p
KCTD15 	hsa-miR-769-5p
SASH1 	hsa-miR-20a-5p
PPIG 	hsa-miR-340-5p
PHF13 	hsa-miR-340-5p
TUB 	hsa-miR-340-5p
LIMA1 	hsa-miR-20a-5p
ZBTB4 	hsa-miR-20a-5p
CHRNA10 	hsa-miR-15b-5p
TEX15 	hsa-miR-27b-3p
HNRNPA2B1 	hsa-miR-20a-5p
HNRNPA2B1 	hsa-miR-27b-3p
SESN3 	hsa-miR-20a-5p
TGIF2 	hsa-miR-15b-5p
CKAP2 	hsa-miR-27b-3p
RPS14 	hsa-miR-181c-5p
RPS14 	hsa-miR-15b-5p
RRM2 	hsa-miR-20a-5p
CSTF2T 	hsa-miR-769-5p
PPA1 	hsa-miR-181c-5p
PPA1 	hsa-miR-27b-3p
ZNF238 	hsa-miR-20a-5p
ZNF238 	hsa-miR-181c-5p
PRKD3 	hsa-miR-27b-3p
ABHD12 	hsa-miR-423-3p
ZFHX4 	hsa-miR-15b-5p
NFIA 	hsa-miR-20a-5p
WDR43 	hsa-miR-15b-5p
ZFYVE21 	hsa-miR-20a-5p
PRC1 	hsa-miR-15b-5p
TNRC6A 	hsa-miR-15b-5p
HIAT1 	hsa-miR-15b-5p
MFSD8 	hsa-miR-340-5p
RBM12B 	hsa-miR-20a-5p
RBM12B 	hsa-miR-340-5p
TMEM30A 	hsa-miR-27b-3p
GRAP2 	hsa-miR-423-3p
MATR3 	hsa-miR-340-5p
RRP12 	hsa-miR-96-5p
